repo,number,state,merged,created_at,closed_or_merged_at,additions,deletions,changed_files,description_length,comments,review_comments,participants
freeCodeCamp/freeCodeCamp,59393,closed,True,2025-03-23T23:44:18Z,2025-03-24T05:00:30Z,2,2,1,410,0,0,2
freeCodeCamp/freeCodeCamp,59392,closed,True,2025-03-23T19:29:17Z,2025-03-24T05:00:56Z,1,1,1,750,0,0,2
freeCodeCamp/freeCodeCamp,59391,closed,False,2025-03-23T19:10:17Z,2025-03-25T10:17:46Z,8,8,1,414,3,0,1
freeCodeCamp/freeCodeCamp,59385,closed,True,2025-03-22T21:35:10Z,2025-03-23T00:33:57Z,1,1,1,545,0,0,2
freeCodeCamp/freeCodeCamp,59382,closed,True,2025-03-21T16:35:18Z,2025-03-21T18:11:42Z,4,2,1,863,0,1,2
freeCodeCamp/freeCodeCamp,59377,closed,True,2025-03-21T13:18:59Z,2025-03-21T15:25:29Z,0,4,1,758,1,0,2
freeCodeCamp/freeCodeCamp,59376,closed,True,2025-03-21T13:17:30Z,2025-03-25T11:03:22Z,0,26,20,938,3,2,3
freeCodeCamp/freeCodeCamp,59375,closed,True,2025-03-21T12:58:42Z,2025-03-21T16:07:44Z,1,1,1,750,0,0,2
freeCodeCamp/freeCodeCamp,59372,closed,False,2025-03-21T10:25:30Z,2025-03-21T11:13:00Z,0,125,15,954,2,0,1
freeCodeCamp/freeCodeCamp,59370,closed,True,2025-03-21T09:37:51Z,2025-03-21T15:36:51Z,3,3,1,752,1,0,2
freeCodeCamp/freeCodeCamp,59369,closed,True,2025-03-21T09:20:33Z,2025-04-03T06:47:54Z,35,17,2,1192,0,2,3
freeCodeCamp/freeCodeCamp,59367,closed,True,2025-03-21T07:50:37Z,2025-03-21T10:06:01Z,1,1,1,758,3,0,2
freeCodeCamp/freeCodeCamp,59366,closed,True,2025-03-21T06:33:01Z,2025-03-21T15:34:26Z,2,2,1,794,0,1,3
freeCodeCamp/freeCodeCamp,59365,closed,False,2025-03-21T05:36:46Z,2025-03-21T10:06:34Z,1,1,1,994,2,0,1
freeCodeCamp/freeCodeCamp,59362,closed,True,2025-03-20T20:59:06Z,2025-03-21T05:02:59Z,1,1,1,750,0,0,2
freeCodeCamp/freeCodeCamp,59359,closed,True,2025-03-20T19:05:49Z,2025-03-24T08:48:20Z,91,245,1,630,0,0,2
